ID,gender,dir,degree,average
104308013,1,1,1,929.1746
104308013,1,1,2,1381.9083
104308013,1,1,3,1887.4359
104308013,1,1,4,1813.5888
104308013,1,2,1,1565.8451
104308013,1,2,2,1324.019228
104308013,1,2,3,1684.8306
104308013,1,2,4,1726.5958
104504018,2,1,1,1044.4072
104504018,2,1,2,1610.8227
104504018,2,1,3,2411.9088
104504018,2,1,4,2596.7344
104504018,2,2,1,1619.5948
104504018,2,2,2,1841.423369
104504018,2,2,3,2624.4835
104504018,2,2,4,2685.5382
105101050,2,1,1,788.8956
105101050,2,1,2,1440.7506
105101050,2,1,3,1884.1898
105101050,2,1,4,1787.0154
105101050,2,2,1,1553.0506
105101050,2,2,2,1403.854863
105101050,2,2,3,1771.2806
105101050,2,2,4,1766.5612
105205064,1,1,1,1515.1981
105205064,1,1,2,1971.0336
105205064,1,1,3,2429.7056
105205064,1,1,4,2875.9348
105205064,1,2,1,2422.9064
105205064,1,2,2,1993.599158
105205064,1,2,3,2416.0583
105205064,1,2,4,2597.9402
105405210,2,1,1,1095.5393
105405210,2,1,2,2183.8388
105405210,2,1,3,2787.7159
105405210,2,1,4,2826.0394
105405210,2,2,1,1764.2304
105405210,2,2,2,1925.233404
105405210,2,2,3,2539.2808
105405210,2,2,4,3052.4262
105502008,2,1,1,992.1384
105502008,2,1,2,2337.8075
105502008,2,1,3,2128.6079
105502008,2,1,4,2299.7575
105502008,2,2,1,1964.3617
105502008,2,2,2,1991.79884
105502008,2,2,3,2115.0315
105502008,2,2,4,2316.0246
106101092,2,1,1,736.6308
106101092,2,1,2,1328.782
106101092,2,1,3,2014.2238
106101092,2,1,4,2291.7337
106101092,2,2,1,1290.6845
106101092,2,2,2,1355.683336
106101092,2,2,3,1934.6744
106101092,2,2,4,1965.2634
106104046,2,1,1,943.1009
106104046,2,1,2,1771.2408
106104046,2,1,3,2124.6504
106104046,2,1,4,1985.2406
106104046,2,2,1,1466.3164
106104046,2,2,2,1472.690654
106104046,2,2,3,1853.5602
106104046,2,2,4,1835.8526
106104050,2,1,1,928.4045
106104050,2,1,2,1488.2233
106104050,2,1,3,1916.5768
106104050,2,1,4,2166.2267
106104050,2,2,1,1627.6288
106104050,2,2,2,1522.977099
106104050,2,2,3,1992.6892
106104050,2,2,4,1751.5818
106202055,2,1,1,792.5784
106202055,2,1,2,1473.1324
106202055,2,1,3,2088.1574
106202055,2,1,4,2040.0777
106202055,2,2,1,1297.2822
106202055,2,2,2,1371.52387
106202055,2,2,3,2079.0235
106202055,2,2,4,2215.5796
106204035,2,1,1,1186.9621
106204035,2,1,2,1654.2673
106204035,2,1,3,1994.1508
106204035,2,1,4,2274.1245
106204035,2,2,1,1787.893
106204035,2,2,2,1873.779289
